Gønnum phone transcription,IPA phone stric transcription,Phoneme,Example,,,,,
ʁ,ʁ̞,r,reb,Voiced,Uvular,Approximant,Consonant,May have slight frication but is usually pronounced as pure approximant.
pʰ,,p,parket,Voiceless,Bilabial,Plosiveaspirated,Consonant,
a,æ̠,a,kat,Near-open,Front (slightly rectracted),Unrounded,Vowel,
e,e̝,e,hel,Near-close,Front,Unrounded,Vowel,
i,,i,tisse,Close,Front,Unrounded,Vowel,
o,,o,flod,Close-mid,Back,Rounded,Vowel,
u,,u,ud,Close,Back,Rounded,Vowel,
ɔ,ö̞,ɔ,ost,Mid,Near-back,Rounded,Vowel,
ɛ,e,ɛ,ven,Close-mid,Front,Unrounded,Vowel,
b̥,,b p,blind,Voiceless lenis,Plosive,Bilabial,Consonant,
tˢ,,t,talte,Voiceless,Alveolar [Apico-alveolar],Plosiveaspirated,Consonant,
d̥,,d t,drukner,Voiceless lenis,Alveolar [Apico-alveolar],Plosive,Consonant,
kʰ,,k,kirtler,Voiceless,Velar,Plosive aspirated,Consonant,
ɡ̊,,g k,gentag,Voiceless lenis,Velar,Plosive,Consonant,
m,,m,miljøminister,Voiced,Bilabial,Nasal,Consonant,
n,,n,nedgang,Voiced,Alveolar[Apico-alveolar],Nasal,Consonant,
ŋ,,n,tvungen,Voiced,Velar,Nasal,Consonant,
f,,f,fandtes,Voiceless,Labiodental,Fricative,Consonant,
v,ʋ,v,velopdragen,Voiced,Labiodental,Approximant,Consonant,May have slight frication but is usually pronounced as pure approximant.
s,,s,skippe,Voiceless,Alveolar[Apico-alveolar],Fricative (sibilant),Consonant,
j,,j,fjern,Voiced,Palatal,Approximant,Consonant,
w,ʊ̯,g v,støv,Close (relatively),Back,Unrounded,Non-syllabic vowel,
ɕ,,sj,sjippe,Voiceless,Alveolo-palatal,Fricative (sibilant),Consonant,Differs fromʃ because is dorsal and not coronal
ð,ɹ,ð,betød,Voiced,Alveolar,Approximant,Consonant,Laminal velarized
ɐ̯,,r,smør,Near-open,Central retracted,Unrounded,Non-syllabic vowel,Grønnum (1998) transcribes it as [ʌ̯]
h,,h,horn,Voiceless,Glottal,Fricative,Consonant,
l,,l,lus,Voiced,Alveolar,Lateral approximant,Consonant,
ɑ,ä,ɑ,tak,Open,Central,Unrounded,Vowel,
æ,ɛ,æ,frisk,Open-mid,Front,Unrounded,Vowel,
ø,ø̠,ø,nød,Close-mid,Front,Rounded,Vowel,
œ,œ̝̈,œ,bønne,MId,Front,Rounded,Vowel,
ɶ,ɶ̝̈,ɶ,tør,Near-open,Near-front,Rounded,Vowel,
y,ÿ,y,tyk,Close,Near-front,Rounded,Vowel,
ʌ,ɔ̜̈˕,ʌ,ånd,Near-open,Near-back,Rounded (somewhat),Vowel,
ɒ,ɔ̞,ɒ,og,Open-mid (slightly lowered),Back,Rounded,Vowel,
ə,ə,ə,hoppe,Mid,Central,Unrounded,Unstressed vowel,
j,ɪ̯,g j,mig,Close (relatively),Front,Unrounded,Non-syllabic vowel,
