guid,note id,ipa phone,ipa phone strict transcription,ipa phoneme symbol,openess,backness,roundedness,examples,classification,notes,pronunciation sound,example sounds,ipa vowels chart,tags
m}}`<CCBtD,1414941136503,a,æ̠,a,Near-open,Front (slightly rectracted),Unrounded,"k<b><font color=""#e60000"">a</font></b>t<div>t<b><font color=""#e60000"">a</font></b>l</div>",Vowel,,[sound:ipa_da_ph_near-open_front-retracted_unrounded.ogg],[sound:ipa_da_ex_kat.ogg][sound:ipa_da_ex_tal.ogg],"<img src=""vowel_chart_da_near-open_front_unrounded.svg"" />",ipa_da_vowels
"J,8QbU6r7_",1414941173044,e,e̝,e,Near-close,Front,Unrounded,"f<b><font color=""#e60000"">e</font></b>d<div>l<b><font color=""#e60000"">i</font></b>st</div>",Vowel,,[sound:ipa_da_ph_near-close_front_unrounded.ogg],[sound:ipa_da_ex_fed.ogg][sound:ipa_da_ex_list.ogg],"<img src=""vowel_chart_da_near-close_front_unrounded.svg"" />",ipa_da_vowels
ph8QP8kvqZ,1414941412044,i,,i,Close,Front,Unrounded,"t<b><font color=""#e60000"">i</font></b>sse<div>m<b><font color=""#e60000"">i</font></b>le</div>",Vowel,,[sound:ipa_da_ph_close_front_unrounded.ogg],[sound:ipa_da_ex_tisse.ogg][sound:ipa_da_ex_mile.ogg],"<img src=""vowel_chart_da_close_front_unrounded.svg"">",ipa_da_vowels
bbNUry%2_r,1414941436614,o,,o,Close-mid,Back,Rounded,"fl<b><font color=""#e60000"">o</font></b>d<div>f<b><font color=""#e60000"">o</font></b>t<b><font color=""#e60000"">o</font></b></div>",Vowel,,[sound:ipa_da_ph_close-mid_back_rounded.ogg],[sound:ipa_da_ex_flod.ogg][sound:ipa_da_ex_foto.ogg],"<img src=""vowel_chart_da_close-mid_back_rounded.svg"" />",ipa_da_vowels
QS{-I.=1Yu,1414941470494,u,,u,Close,Back,Rounded,"<b><font color=""#e60000"">u</font></b>d<div>m<b><font color=""#e60000"">u</font></b>le</div>",Vowel,,[sound:ipa_da_ph_close_back_rounded.ogg],[sound:ipa_da_ex_ud.ogg][sound:ipa_da_ex_mule.ogg],"<img src=""vowel_chart_da_close_back_rounded.svg"" />",ipa_da_vowels
xm(70L4`=&,1414941487024,ɔ,ö̞,ɔ,Mid,Near-back,Rounded,"<b><font color=""#e60000"">o</font></b>st<div>m<b><font color=""#e60000"">å</font></b>le</div>",Vowel,,[sound:ipa_da_ph_mid_near-back_rounded.ogg],[sound:ipa_da_ex_ost.ogg][sound:ipa_da_ex_måle.ogg],"<img src=""vowel_chart_da_mid_near-back_rounded.svg"" />",ipa_da_vowels
xO(A9pfZ>^,1414941525084,ɛ,e,ɛ,Close-mid,Front,Unrounded,"v<b><font color=""#e60000"">e</font></b>n<div>m<b><font color=""#e60000"">æ</font></b>le</div>",Vowel,,[sound:ipa_da_ph_close-mid_front_unrounded.ogg],[sound:ipa_da_ex_ven.ogg][sound:ipa_da_ex_mæle.ogg],"<img src=""vowel_chart_da_close-mid_front_unrounded.svg"" />",ipa_da_vowels
c}gKzVY8cl,1413465854629,w,ʊ̯,g v,Close (relatively),Back,Rounded,"do<b><font color=""#ff0000"">g</font></b><br /><div><font>sko</font><font color=""#e60000"" style=""font-weight: bold;"">v</font></div>",Non-syllabic vowel,,,[sound:ipa_da_ex_dog.ogg][sound:ipa_da_ex_skov.ogg],,ipa_da_vowels
g$isR4wbiI,1421512974999,ɐ̯,,r,Near-open,Central retracted,Unrounded,"hø<b><font color=""#e60000"">r</font></b><div>smø<b><font color=""#e60000"">r</font></b></div>",Non-syllabic vowel,Grønnum (1998) transcribes it as [ʌ̯],,[sound:ipa_da_ex_hør.ogg][sound:ipa_da_ex_smør.ogg],,ipa_da_vowels
v{[wJ:FGss,1421608394979,ɑ,ä,ɑ,Open,Central,Unrounded,"t<b><font color=""#e60000"">a</font></b>k<div><b><font color=""#e60000"">a</font></b>rne</div>",Vowel,,[sound:ipa_da_ph_open_central_unrounded.ogg],[sound:ipa_da_ex_tak.ogg][sound:ipa_da_ex_arne.ogg],"<img src=""vowel_chart_da_open_central_unrounded.svg"" />",ipa_da_vowels
j_jH6wrTU-,1421608416062,æ,ɛ,æ,Open-mid,Front,Unrounded,"fr<b><font color=""#e60000"">i</font></b>sk<div>b<b><font color=""#e60000"">æ</font></b>r</div>",Vowel,,[sound:ipa_da_ph_open-mid_front_unrounded.ogg],[sound:ipa_da_ex_frisk.ogg][sound:ipa_da_ex_bær.ogg],"<img src=""vowel_chart_da_open-mid_front_unrounded.svg"" />",ipa_da_vowels
Hl%e~Yfr`R,1421608423363,ø,ø̠,ø,Close-mid,Front,Rounded,"n<b><font color=""#e60000"">ø</font></b>d<div>k<b><font color=""#e60000"">y</font></b>s</div>",Vowel,,[sound:ipa_da_ph_close-mid_front_rounded.ogg],[sound:ipa_da_ex_nød.ogg][sound:ipa_da_ex_kys.ogg],"<img src=""vowel_chart_da_close-mid_front_rounded.svg"" />",ipa_da_vowels
